Sorter0,
ArrayLength,Runtime D
8175,0.026291668
8177,0.026664624
8179,0.026443915
8181,0.026844749
8183,0.026656209
8185,0.02666554
8187,0.026124001
8189,0.03248829
8191,0.027832417
8193,0.026101001
8195,0.026476877
8197,0.02688575
8199,0.026790123
8201,0.026856668
8203,0.026068624
8205,0.026877375
8207,0.027107377
8209,0.026760584
8211,0.029300584
8213,0.026467124
8215,0.026562043
8217,0.026959624
8219,0.02673625
8221,0.026554668
8223,0.026534459
8225,0.026496459
8227,0.026684584
8229,0.027998831
8231,0.026414501
8233,0.026287584
8235,0.026401542
8237,0.026580123
8239,0.026521042
8241,0.026466124
8243,0.026347332
8245,0.0263495
8247,0.026617501
8249,0.026395543
8251,0.026209876
8253,0.026284751
8255,0.026459999
8257,0.026324833
8259,0.026555415
8261,0.026558124
8263,0.027466416
8265,0.027773499
8267,0.027274542
8269,0.028407624
8271,0.02681
8273,0.027057668
8275,0.026702331
8277,0.027154293
8279,0.026355334
8281,0.026793083
8283,0.027378168
8285,0.026901999
8287,0.027355
8289,0.026571039
8291,0.026944708
8293,0.026996125
8295,0.026741832
8297,0.02674775
8299,0.027124831
8301,0.027601415
8303,0.026966542
8305,0.027120542
8307,0.026906542
8309,0.026920499
8311,0.026918668
8313,0.026955457
8315,0.026845291
8317,0.026855541
8319,0.027518461
8321,0.027090292
8323,0.02667525
8325,0.02700625
8327,0.027329333
8329,0.027759792
8331,0.027459083
8333,0.027270624
8335,0.027753124
8337,0.028193543
8339,0.027541958
8341,0.027340084
8343,0.02758454
8345,0.027470708
8347,0.027404333
8349,0.0277305
8351,0.027911708
8353,0.027604625
8355,0.028244833
8357,0.027846292
8359,0.027856458
8361,0.027331583
8363,0.026899166
8365,0.02712325
8367,0.027343165
8369,0.027085915
8371,0.027484331
8373,0.029305501
8375,0.028037624
8377,0.027951293
8379,0.027734376
8381,0.027762834
8383,0.027445208
8385,0.027717
8387,0.027397292
8389,0.02752275
8391,0.030731957
8393,0.027555333
8395,0.027808251
8397,0.027725415
8399,0.027520251
8401,0.027312877
8403,0.027670791
8405,0.027587377
8407,0.027820876
8409,0.0278445
8411,0.027951583
8413,0.027717957
8415,0.027585501
8417,0.028024085
8419,0.02686475
8421,0.027444417
8423,0.028416416
8425,0.028315708
8427,0.027907832
8429,0.027715623
8431,0.027552707
8433,0.028229708
8435,0.029251041
8437,0.028523166
8439,0.028612792
8441,0.029994125
8443,0.030075667
8445,0.028973209
8447,0.028022584
8449,0.028145123
8451,0.02834904
8453,0.031441584
8455,0.028698666
8457,0.028281
8459,0.028546125
8461,0.028524542
8463,0.028662916
8465,0.028525084
8467,0.028650831
8469,0.028581085
8471,0.028977457
8473,0.02862075
8475,0.028377751
8477,0.028609123
8479,0.029889749
8481,0.028555499
8483,0.028998792
8485,0.029675333
8487,0.029431749
8489,0.028112458
8491,0.028395168
8493,0.028914709
8495,0.028472042
8497,0.031071041
8499,0.028424168
8501,0.02830904
8503,0.027893251
8505,0.0280865
8507,0.028766001
8509,0.028441915
8511,0.028275
8513,0.028670624
8515,0.028643085
8517,0.028345751
8519,0.028675832
8521,0.028357916
8523,0.028828749
8525,0.028617669
8527,0.028638585
8529,0.029189916
8531,0.028742542
8533,0.028721623
8535,0.028394124
8537,0.028821168
8539,0.028790085
8541,0.028622417
8543,0.028438542
8545,0.028673001
8547,0.029001333
8549,0.029198542
8551,0.028272375
8553,0.027899792
8555,0.027987542
8557,0.028671334
8559,0.028758584
8561,0.0287225
8563,0.028519332
8565,0.028863166
8567,0.031723332
8569,0.028541084
8571,0.028663957
8573,0.028648665
8575,0.028796168
8577,0.02872275
8579,0.0287995
8581,0.02859896
8583,0.0288455
8585,0.028875915
8587,0.028984416
8589,0.028831333
8591,0.028588708
8593,0.030892834
8595,0.028720461
8597,0.028830832
8599,0.028576458
8601,0.028925585
8603,0.028849624
8605,0.0288055
8607,0.028878041
8609,0.029066792
8611,0.028808542
8613,0.029000584
8615,0.029569669
8617,0.029168334
8619,0.030791458
8621,0.029320708
8623,0.029524041
8625,0.029608209
8627,0.029278625
8629,0.029749624
8631,0.029517831
8633,0.028764
8635,0.029564377
8637,0.029547624
8639,0.029515
8641,0.029390957
8643,0.029551623
8645,0.03174375
8647,0.029428458
8649,0.029355291
8651,0.028931541
8653,0.029228415
8655,0.029022915
8657,0.028915958
8659,0.029626168
8661,0.029348208
8663,0.029516209
8665,0.029650042
8667,0.029429708
8669,0.029508376
8671,0.033012874
8673,0.029273249
8675,0.029197292
8677,0.029519333
8679,0.029798085
8681,0.030085042
8683,0.029686123
8685,0.02964046
8687,0.029663293
8689,0.029588958
8691,0.029862624
8693,0.030004624
8695,0.029516792
8697,0.029721333
8699,0.029698458
8701,0.030291
8703,0.029746415
8705,0.030731043
8707,0.030047335
8709,0.029979667
8711,0.031126332
8713,0.030598585
8715,0.030095832
8717,0.03037275
8719,0.032094959
8721,0.0301695
8723,0.030357668
8725,0.0306725
8727,0.030496169
8729,0.029983168
8731,0.033285834
8733,0.029826958
8735,0.030071875
8737,0.030303624
8739,0.030289957
8741,0.029969541
8743,0.03005125
8745,0.030100292
8747,0.029768584
8749,0.029693415
8751,0.029877165
8753,0.030055668
8755,0.030331668
8757,0.030146085
8759,0.030081792
8761,0.030129332
8763,0.029863209
8765,0.032778665
8767,0.029835876
8769,0.030345917
8771,0.030183168
8773,0.03093525
8775,0.030630542
8777,0.030749915
8779,0.030355584
8781,0.030250667
8783,0.030544043
8785,0.0306035
8787,0.030782457
8789,0.03068175
8791,0.030226042
8793,0.03094775
8795,0.030323459
8797,0.030050792
8799,0.032797582
8801,0.030349124
8803,0.030020542
8805,0.030232085
8807,0.030258708
8809,0.030353624
8811,0.030379623
8813,0.030313708
8815,0.030391708
8817,0.030227
8819,0.030454084
8821,0.030374
8823,0.03049775
8825,0.029997168
8827,0.030627793
8829,0.030067377
8831,0.030478584
8833,0.034073792
8835,0.030384084
8837,0.030575084
8839,0.030563708
8841,0.031797707
8843,0.030702583
8845,0.030936915
8847,0.030435791
8849,0.030961832
8851,0.030649416
8853,0.030640459
8855,0.030964332
8857,0.030899707
8859,0.030603539
8861,0.031102376
8863,0.031228377
8865,0.031288791
8867,0.037598915
8869,0.032179415
8871,0.032092001
8873,0.031552959
8875,0.033547167
8877,0.030833207
8879,0.031591125
8881,0.032398708
8883,0.031511292
8885,0.031488083
8887,0.032250751
8889,0.032055624
8891,0.030883169
8893,0.031363834
8895,0.031304292
8897,0.03111325
8899,0.031545293
8901,0.031144749
8903,0.031250499
8905,0.030916
8907,0.03123375
8909,0.031480543
8911,0.032037877
8913,0.032023877
8915,0.031271748
8917,0.033818793
8919,0.031418458
8921,0.032837708
8923,0.032882124
8925,0.031884085
8927,0.031556707
8929,0.032217585
8931,0.031760626
8933,0.03185904
8935,0.031853877
8937,0.031695001
8939,0.032079
8941,0.032155499
8943,0.03197325
8945,0.032218751
8947,0.032381833
8949,0.031491999
8951,0.031358417
8953,0.031506456
8955,0.032004293
8957,0.031673498
8959,0.034359455
8961,0.031788249
8963,0.031605709
8965,0.031531416
8967,0.033013791
8969,0.031824209
8971,0.031683791
8973,0.031967625
8975,0.03193621
8977,0.032902583
8979,0.031605668
8981,0.031802248
8983,0.03181475
8985,0.031959917
8987,0.031673916
8989,0.031517085
8991,0.031534709
8993,0.032422416
8995,0.032207459
8997,0.032491915
8999,0.032150831
9001,0.031609915
9003,0.032650415
9005,0.032438293
9007,0.032182876
9009,0.032310668
9011,0.032355294
9013,0.032336
9015,0.032184333
9017,0.034822125
9019,0.031935502
9021,0.03181025
9023,0.032368291
9025,0.032711752
9027,0.032029498
9029,0.032566749
9031,0.032633707
9033,0.033397291
9035,0.033109542
9037,0.032575
9039,0.032933585
9041,0.032549333
9043,0.153701246
9045,0.034944877
9047,0.03300925
9049,0.032728665
9051,0.034149248
9053,0.032664668
9055,0.032654375
9057,0.033501707
9059,0.032578915
9061,0.032825917
9063,0.032965668
9065,0.035937417
9067,0.033366207
9069,0.032847665
9071,0.033521459
9073,0.03357596
9075,0.032567374
9077,0.033494834
9079,0.044381831
9081,0.033193123
9083,0.036242124
9085,0.033033665
9087,0.033434376
9089,0.03363004
9091,0.034037083
9093,0.034542248
9095,0.037957333
9097,0.035032544
9099,0.035048001
9101,0.032911584
9103,0.032827917
9105,0.032959417
9107,0.032962624
9109,0.032791
9111,0.032275707
9113,0.03239546
9115,0.032232668
9117,0.032846708
9119,0.032561377
9121,0.032668583
9123,0.032579251
9125,0.032544207
9127,0.032925501
9129,0.032642957
9131,0.032894999
9133,0.032562375
9135,0.032572169
9137,0.03282496
9139,0.033316169
9141,0.032773376
9143,0.032555249
9145,0.032320876
9147,0.03187925
9149,0.032195792
9151,0.032741752
9153,0.03286254
9155,0.032776669
9157,0.032819416
9159,0.03287825
9161,0.032922707
9163,0.03352629
9165,0.037196208
9167,0.033028875
9169,0.032817125
9171,0.032812249
9173,0.036177084
9175,0.033527501
9177,0.033307251
9179,0.033019502
9181,0.034798708
9183,0.033356875
9185,0.033654418
9187,0.033617333
9189,0.033920877
9191,0.035150249
9193,0.033724248
9195,0.034462459
9197,0.035073832
9199,0.033636332
9201,0.033565916
9203,0.033827584
9205,0.034324206
9207,0.033725247
9209,0.033517875
9211,0.033475459
9213,0.033381376
9215,0.034194916
9217,0.034697417
9219,0.033665918
9221,0.033533707
9223,0.033252377
9225,0.033050209
9227,0.033555754
9229,0.034077916
9231,0.033302914
9233,0.034008417
9235,0.033660792
9237,0.033407375
9239,0.033587206
9241,0.033545248
9243,0.033704415
9245,0.03368504
9247,0.033690915
9249,0.033565961
9251,0.033705167
9253,0.034122501
9255,0.033908334
9257,0.033574041
9259,0.033435084
9261,0.033439416
9263,0.033103749
9265,0.033016626
9267,0.033449668
9269,0.033434708
9271,0.032973543
9273,0.032931499
9275,0.03321771
9277,0.03305025
9279,0.032767624
9281,0.032740377
9283,0.032813791
9285,0.033373792
9287,0.033111915
9289,0.033441957
9291,0.033332083
9293,0.033088706
9295,0.033137333
9297,0.033353541
9299,0.033382293
9301,0.03366321
9303,0.033203542
9305,0.033003125
9307,0.03309229
9309,0.033196751
9311,0.033071376
9313,0.033673376
9315,0.033977501
9317,0.033984877
9319,0.033305418
9321,0.033625294
9323,0.033267457
9325,0.033261083
9327,0.033456791
9329,0.033716377
9331,0.033576999
9333,0.033547457
9335,0.033337668
9337,0.033338293
9339,0.03325896
9341,0.0338935
9343,0.033391502
9345,0.03345729
9347,0.033774335
9349,0.033536501
9351,0.033924416
9353,0.034138959
9355,0.034668792
9357,0.03403917
9359,0.033877708
9361,0.033638708
9363,0.033782206
9365,0.034062292
9367,0.033685874
9369,0.033412915
9371,0.034448002
9373,0.034264207
9375,0.034355961
9377,0.034075461
9379,0.033891249
9381,0.034455083
9383,0.033989459
9385,0.033797916
9387,0.033694625
9389,0.034431752
9391,0.034453377
9393,0.034249123
9395,0.034209207
9397,0.033994917
9399,0.033811375
9401,0.033903543
9403,0.034013331
9405,0.034421708
9407,0.033985998
9409,0.034107335
9411,0.033898376
9413,0.033912499
9415,0.034269415
9417,0.034158457
9419,0.034350246
9421,0.033925418
9423,0.034138583
9425,0.034128707
9427,0.034017455
9429,0.034111831
9431,0.033997707
9433,0.034106124
9435,0.033988375
9437,0.03397233
9439,0.034346499
9441,0.034074832
9443,0.034207791
9445,0.034366377
9447,0.03441
9449,0.034247335
9451,0.034920499
9453,0.034744084
9455,0.034545753
9457,0.034270041
9459,0.034656122
9461,0.034747999
9463,0.034800041
9465,0.034479454
9467,0.034645375
9469,0.034593832
9471,0.034479499
9473,0.034649752
9475,0.03452421
9477,0.035498586
9479,0.034593917
9481,0.034892417
9483,0.034984209
9485,0.034852337
9487,0.035206247
9489,0.034909874
9491,0.035479583
9493,0.036803961
9495,0.034457877
9497,0.034745291
9499,0.034607332
9501,0.038351499
9503,0.034734625
9505,0.034764085
9507,0.034659959
9509,0.035117336
9511,0.035112754
9513,0.035572417
9515,0.035328832
9517,0.036292415
9519,0.035382457
9521,0.035041753
9523,0.035139292
9525,0.03574175
9527,0.035728622
9529,0.035382669
9531,0.035196584
9533,0.035477333
9535,0.03502275
9537,0.034961667
9539,0.035039209
9541,0.034820545
9543,0.034931455
9545,0.035015583
9547,0.035278916
9549,0.035200752
9551,0.035197541
9553,0.034978583
9555,0.035118457
9557,0.035411168
9559,0.035010669
9561,0.035051834
9563,0.03521879
9565,0.035298169
9567,0.035595663
9569,0.035255041
9571,0.035509709
9573,0.035328414
9575,0.035928831
9577,0.036458753
9579,0.03587383
9581,0.035236456
9583,0.035532791
9585,0.035785459
9587,0.038830038
9589,0.035473499
9591,0.035442248
9593,0.035423625
9595,0.035498623
9597,0.035539247
9599,0.035388209
9601,0.035290539
9603,0.035449501
9605,0.035546917
9607,0.035940792
9609,0.03593279
9611,0.035619959
9613,0.035724543
9615,0.035985667
9617,0.036377124
9619,0.035980832
9621,0.035622459
9623,0.035954416
9625,0.035856377
9627,0.035546545
9629,0.035955831
9631,0.03567246
9633,0.036386415
9635,0.035607498
9637,0.035518546
9639,0.035436876
9641,0.036430169
9643,0.036350247
9645,0.036019709
9647,0.035737418
9649,0.03661846
9651,0.035611454
9653,0.035961501
9655,0.035975501
9657,0.035884246
9659,0.037910707
9661,0.036261708
9663,0.036198333
9665,0.036117833
9667,0.036409002
9669,0.036175542
9671,0.036215167
9673,0.035920206
9675,0.035867415
9677,0.036089122
9679,0.03611096
9681,0.036206875
9683,0.0362425
9685,0.035980377
9687,0.036055878
9689,0.036118586
9691,0.036474667
9693,0.037251417
9695,0.038054209
9697,0.037163544
9699,0.037309583
9701,0.036518499
9703,0.039239042
9705,0.036494415
9707,0.036574248
9709,0.036606833
9711,0.036522999
9713,0.036706042
9715,0.036329832
9717,0.036550585
9719,0.037467498
9721,0.03641979
9723,0.03645717
9725,0.036701918
9727,0.036681622
9729,0.037117708
9731,0.036287669
9733,0.036352001
9735,0.036559291
9737,0.036945708
9739,0.036695752
9741,0.037354
9743,0.036330666
9745,0.03680867
9747,0.036333248
9749,0.037844751
9751,0.036790248
9753,0.036804374
9755,0.036538754
9757,0.036547583
9759,0.036790334
9761,0.0372325
9763,0.036949459
9765,0.03747521
9767,0.036851499
9769,0.03666221
9771,0.036706917
9773,0.037160374
9775,0.037062667
9777,0.037135959
9779,0.036769751
9781,0.036732834
9783,0.036808625
9785,0.036885917
9787,0.037385169
9789,0.036988668
9791,0.036895625
9793,0.036886543
9795,0.04057467
9797,0.037463207
9799,0.037379209
9801,0.037144002
9803,0.037002455
9805,0.037169416
9807,0.037148751
9809,0.037219625
9811,0.037334625
9813,0.037338998
9815,0.037222084
9817,0.037112582
9819,0.037075538
9821,0.037271246
9823,0.037060291
9825,0.037527751
9827,0.036852542
9829,0.037119124
9831,0.037171084
9833,0.041014083
9835,0.037784833
9837,0.037617207
9839,0.037136
9841,0.037327833
9843,0.037239332
9845,0.037394375
9847,0.037464418
9849,0.037340667
9851,0.037208751
9853,0.037232418
9855,0.037720706
9857,0.040288378
9859,0.037947085
9861,0.038689457
9863,0.038458247
9865,0.038268417
9867,0.038883667
9869,0.037537791
9871,0.043090247
9873,0.037348915
9875,0.038281709
9877,0.039903544
9879,0.039912499
9881,0.039682623
9883,0.039143626
9885,0.039107833
9887,0.039877545
9889,0.062978916
9891,0.039197583
9893,0.038351417
9895,0.037895083
9897,0.037794624
9899,0.037844248
9901,0.040649708
9903,0.038062375
9905,0.03977171
9907,0.037835501
9909,0.039108545
9911,0.038235337
9913,0.037970208
9915,0.038197793
9917,0.038127583
9919,0.03809404
9921,0.038123246
9923,0.038605999
9925,0.038421039
9927,0.038096085
9929,0.037917662
9931,0.039113291
9933,0.037956752
9935,0.037742168
9937,0.038183875
9939,0.038633622
9941,0.038769625
9943,0.038608376
9945,0.038369752
9947,0.038594332
9949,0.0386605
9951,0.038370334
9953,0.038630959
9955,0.03830646
9957,0.038135041
9959,0.038159832
9961,0.040696084
9963,0.03885296
9965,0.038236376
9967,0.038256917
9969,0.038589377
9971,0.03822846
9973,0.038464878
9975,0.038830169
9977,0.038300753
9979,0.038349584
9981,0.038316831
9983,0.038506545
9985,0.038355123
9987,0.038523041
9989,0.038572207
9991,0.042329501
9993,0.039240293
9995,0.038925752
9997,0.038800333
9999,0.038607754
10001,0.03865796
10003,0.038560584
10005,0.039144915
10007,0.038570039
10009,0.038378209
10011,0.038571961
10013,0.039087415
10015,0.038905915
10017,0.039031625
10019,0.038901247
10021,0.042967834
10023,0.038654707
10025,0.039092455
10027,0.039645623
10029,0.039161418
10031,0.038512584
10033,0.038568664
10035,0.038913794
10037,0.039483499
10039,0.039002664
10041,0.038701665
10043,0.039110623
10045,0.038942914
10047,0.03905125
10049,0.03905217
10051,0.039132584
10053,0.038869083
10055,0.038676877
10057,0.038822498
10059,0.038985461
10061,0.039600585
10063,0.039413877
10065,0.039861336
10067,0.038904622
10069,0.039470125
10071,0.039042708
10073,0.039020501
10075,0.039200336
10077,0.038986333
10079,0.039932292
10081,0.039661583
10083,0.039887
10085,0.039487962
10087,0.03936404
10089,0.039148916
10091,0.039170668
10093,0.038902707
10095,0.042935707
10097,0.039336331
10099,0.039193083
10101,0.039507374
10103,0.039800961
10105,0.039250582
10107,0.039707918
10109,0.039442126
10111,0.039297041
10113,0.039774545
10115,0.039301001
10117,0.039566249
10119,0.039492663
10121,0.039401125
10123,0.039425459
10125,0.03933496
10127,0.039209168
10129,0.039270084
10131,0.040561292
10133,0.039557792
10135,0.039918456
10137,0.04000983
10139,0.040464375
10141,0.039513294
10143,0.040094167
10145,0.039964247
10147,0.039717454
10149,0.039662793
10151,0.039557874
10153,0.039622918
10155,0.039710123
10157,0.039821833
10159,0.04005025
10161,0.040639669
10163,0.040210333
10165,0.039829545
10167,0.04027525
10169,0.039764039
10171,0.040348876
10173,0.040545501
10175,0.040077832
10177,0.039886169
10179,0.040629331
10181,0.040167376
10183,0.040184125
10185,0.039900459
10187,0.03988279
10189,0.039824001
10191,0.040000707
10193,0.039789502
10195,0.039966833
10197,0.040170208
10199,0.040647961
10201,0.040798545
10203,0.040732417
10205,0.041115586
10207,0.040288754
10209,0.039937377
10211,0.04011929
10213,0.040140294
10215,0.040256377
10217,0.040056791
10219,0.040461417
10221,0.040247586
10223,0.040268168
10225,0.040109664
10227,0.04141346
10229,0.0402225
10231,0.040356584
10233,0.040480126
10235,0.040308166
10237,0.040325791
10239,0.040226337
10241,0.040429499
10243,0.040902793
10245,0.041061126
10247,0.041099042
10249,0.045150917
10251,0.040405247
10253,0.04082704
10255,0.040877331
10257,0.040526375
10259,0.040811501
10261,0.041218624
10263,0.041095041
10265,0.040746041
10267,0.040651124
10269,0.040570669
10271,0.044985667
10273,0.040534209
10275,0.040409375
10277,0.040794663
10279,0.040549707
10281,0.040509377
10283,0.040621415
10285,0.041036125
10287,0.040753417
10289,0.04058079
10291,0.040618084
10293,0.040684793
10295,0.040734544
10297,0.040787082
10299,0.041167624
10301,0.041484457
10303,0.041381124
10305,0.040892169
10307,0.043990668
10309,0.041708209
10311,0.041374292
10313,0.041392624
10315,0.040967915
10317,0.041035209
10319,0.040754501
10321,0.041281875
10323,0.040914539
10325,0.040924333
10327,0.041089293
10329,0.041293625
10331,0.041167084
10333,0.04114129
10335,0.041596293
10337,0.041239753
10339,0.041187417
10341,0.041151877
10343,0.041343376
10345,0.041174039
10347,0.041165832
10349,0.0414115
10351,0.041381545
10353,0.041154169
10355,0.041083291
10357,0.041381247
10359,0.041802332
10361,0.041395377
10363,0.041306209
10365,0.046520248
10367,0.041686833
10369,0.042253416
10371,0.043157499
10373,0.041884292
10375,0.042017624
10377,0.041757669
10379,0.042432707
10381,0.041380834
10383,0.04166
10385,0.041685209
10387,0.042209834
10389,0.042584583
10391,0.042675707
10393,0.042113669
10395,0.042134084
10397,0.041849334
10399,0.042013459
10401,0.045260668
10403,0.041683875
10405,0.041741502
10407,0.042127125
10409,0.041746583
10411,0.042073708
10413,0.042264584
10415,0.04276479
10417,0.042473663
10419,0.042070918
10421,0.041946709
10423,0.041754499
10425,0.041797668
10427,0.041675959
10429,0.041731708
10431,0.041755337
10433,0.041894168
10435,0.041903831
10437,0.04187917
10439,0.041777499
10441,0.042377874
10443,0.042440668
10445,0.041923918
10447,0.042648751
10449,0.04219196
10451,0.046259664
10453,0.042116415
10455,0.042149499
10457,0.042652417
10459,0.04195004
10461,0.042216543
10463,0.042082001
10465,0.04344283
10467,0.042741124
10469,0.042769041
10471,0.042887457
10473,0.042544585
10475,0.042930208
10477,0.042962663
10479,0.042273585
10481,0.042190667
10483,0.042253166
10485,0.042381085
10487,0.042459
10489,0.042425416
10491,0.042330876
10493,0.042595793
10495,0.04245225
10497,0.042383585
10499,0.042428456
10501,0.047378331
10503,0.042416502
10505,0.0424955
10507,0.042621247
10509,0.042405125
10511,0.042497002
10513,0.042661041
10515,0.045632876
10517,0.043642249
10519,0.043194626
10521,0.044222623
10523,0.04281104
10525,0.043705501
10527,0.04345154
10529,0.043777123
10531,0.043202624
10533,0.045055207
10535,0.044383585
10537,0.044235792
10539,0.043076623
10541,0.04297217
10543,0.043562539
10545,0.043566916
10547,0.043699622
10549,0.044083249
10551,0.043262333
10553,0.043998625
10555,0.043621961
10557,0.043774959
10559,0.04366817
10561,0.043369208
10563,0.044084456
10565,0.044264209
10567,0.045135375
10569,0.044384457
10571,0.044205293
10573,0.044462375
10575,0.044309918
10577,0.044874001
10579,0.04779179
10581,0.044426665
10583,0.044149917
10585,0.044635624
10587,0.04469604
10589,0.044489793
10591,0.044315498
10593,0.047932249
10595,0.043716375
10597,0.043434583
10599,0.04357104
10601,0.043369669
10603,0.043887585
10605,0.043569915
10607,0.047559459
10609,0.045224123
10611,0.044868
10613,0.045633834
10615,0.044319209
10617,0.087832794
10619,0.044659041
10621,0.045480669
10623,0.044634707
10625,0.044381667
10627,0.044448961
10629,0.044079456
10631,0.044057708
10633,0.044248085
10635,0.044829376
10637,0.04432179
10639,0.044015169
10641,0.044303667
10643,0.044117793
10645,0.044025209
10647,0.044495545
10649,0.044458039
10651,0.043808293
10653,0.043863501
10655,0.044087667
10657,0.044483878
10659,0.044672083
10661,0.044562001
10663,0.045147169
10665,0.044823457
10667,0.044889666
10669,0.044542916
10671,0.044006959
10673,0.044102501
10675,0.043933753
10677,0.044558376
10679,0.044105209
10681,0.044394668
10683,0.044989668
10685,0.044908583
10687,0.044583209
10689,0.044939831
10691,0.045524456
10693,0.044629499
10695,0.044573378
10697,0.044528998
10699,0.044714831
10701,0.045092002
10703,0.044663999
10705,0.044899877
10707,0.044865668
10709,0.044527292
10711,0.044476502
10713,0.044473793
10715,0.045237791
10717,0.045012753
10719,0.046581455
10721,0.044582624
10723,0.044829961
10725,0.044706292
10727,0.0445145
10729,0.045395207
10731,0.045064125
10733,0.047463585
10735,0.044739041
10737,0.045234039
10739,0.04515383
10741,0.045474663
10743,0.045907084
10745,0.045471959
10747,0.049536832
10749,0.044947706
10751,0.045009248
10753,0.045528375
10755,0.038257249
10757,0.03819396
10759,0.038671415
10761,0.043550208
10763,0.038058247
10765,0.038111247
10767,0.038064498
10769,0.038333502
10771,0.038027916
10773,0.03844196
10775,0.074222542
10777,0.066438958
10779,0.040120583
10781,0.039965291
10783,0.039113544
10785,0.038701084
10787,0.038102753
10789,0.038169209
10791,0.038265377
10793,0.057643794
10795,0.051264916
10797,0.07365717
10799,0.050128374
10801,0.053421039
10803,0.039991833
10805,0.04249746
10807,0.050367583
10809,0.084231205
10811,0.039866377
10813,0.039853457
10815,0.039694332
10817,0.039251585
10819,0.039109167
10821,0.039079625
10823,0.040348958
10825,0.039179415
10827,0.039347082
10829,0.039327294
10831,0.038953539
10833,0.039002791
10835,0.038797293
10837,0.042680126
10839,0.03885017
10841,0.038651545
10843,0.038494375
10845,0.038328961
10847,0.038961455
10849,0.043231707
10851,0.041430168
10853,0.039967876
10855,0.038599875
10857,0.03906104
10859,0.03894354
10861,0.038364831
10863,0.038492084
10865,0.038731415
10867,0.038861834
10869,0.039586917
10871,0.040969249
10873,0.04091467
10875,0.040722415
10877,0.040721625
10879,0.039346501
10881,0.039622832
10883,0.039329708
10885,0.041578878
10887,0.039286792
10889,0.039159626
10891,0.039314501
10893,0.039132085
10895,0.039016586
10897,0.039151292
10899,0.039170124
10901,0.038844708
10903,0.039004169
10905,0.039365664
10907,0.038983915
10909,0.039193876
10911,0.039635293
10913,0.039634041
10915,0.040285416
10917,0.039386623
10919,0.039445832
10921,0.038753461
10923,0.039212584
10925,0.043109462
10927,0.039670877
10929,0.04006321
10931,0.039494246
10933,0.042684793
10935,0.039068457
10937,0.039295085
10939,0.038910415
10941,0.040391333
10943,0.040379498
10945,0.040411294
10947,0.040724546
10949,0.040463377
10951,0.040266916
10953,0.040338457
10955,0.040648915
10957,0.043722086
10959,0.041346584
10961,0.040323544
10963,0.040450539
10965,0.039799169
10967,0.040661667
10969,0.040187415
10971,0.039640669
10973,0.039927248
10975,0.040173333
10977,0.039788209
10979,0.03990696
10981,0.039597169
10983,0.039419752
10985,0.039490625
10987,0.039569791
10989,0.039406545
10991,0.040221583
10993,0.041212
10995,0.039549291
10997,0.040217876
10999,0.040609583
11001,0.041034751
11003,0.03989096
11005,0.040223584
11007,0.059342414
11009,0.041513793
11011,0.041420415
11013,0.040958501
11015,0.040956877
11017,0.074567541
11019,0.043165457
11021,0.041235
11023,0.041657377
11025,0.041877959
11027,0.051343832
11029,0.046494249
11031,0.042494625
11033,0.049364042
11035,0.049301248
11037,0.049338415
11039,0.049143501
11041,0.048884418
11043,0.041535247
11045,0.040811166
11047,0.041018125
11049,0.040883917
11051,0.041478168
11053,0.041710623
11055,0.040859792
11057,0.040220544
11059,0.040509082
11061,0.040732753
11063,0.040279999
11065,0.040519085
11067,0.041409545
11069,0.0406105
11071,0.040517624
11073,0.04042083
11075,0.040601794
11077,0.040523
11079,0.040482707
11081,0.040779959
11083,0.040294085
11085,0.040389918
11087,0.040695
11089,0.042976666
11091,0.040600456
11093,0.040740751
11095,0.040813915
11097,0.040765125
11099,0.040689625
11101,0.04107371
11103,0.040280122
11105,0.040971123
11107,0.040584501
11109,0.041923583
11111,0.100085869
11113,0.056288332
11115,0.0591865
11117,0.044465084
11119,0.042470414
11121,0.060396545
11123,0.042668708
11125,0.042724583
11127,0.041166708
11129,0.041146457
11131,0.041056916
11133,0.041295499
11135,0.041694455
11137,0.0410305
11139,0.04108379
11141,0.040993292
11143,0.040795084
11145,0.040949456
11147,0.040963247
11149,0.041793123
11151,0.041153084
11153,0.041347545
11155,0.041463207
11157,0.041165169
11159,0.041159999
11161,0.041662209
11163,0.045065001
11165,0.040978666
11167,0.040987875
11169,0.041503124
11171,0.041079417
11173,0.041695874
11175,0.041500878
11177,0.041925751
11179,0.043430623
11181,0.041703001
11183,0.04553733
11185,0.041964207
11187,0.041303247
11189,0.041539624
11191,0.041604169
11193,0.041673038
11195,0.042037584
11197,0.04159075
11199,0.041493416
11201,0.041545916
11203,0.045108914
11205,0.041595545
11207,0.041938625
11209,0.042601168
11211,0.042426292
11213,0.041317753
11215,0.041933622
11217,0.041454334
11219,0.041910961
11221,0.046055168
11223,0.045495167
11225,0.042141415
11227,0.041446377
11229,0.041812249
11231,0.04746354
11233,0.042660877
11235,0.043090586
11237,0.042485207
11239,0.042961333
11241,0.042592667
11243,0.0464615
11245,0.042329751
11247,0.04192654
11249,0.042107586
11251,0.041938961
11253,0.041976623
11255,0.042884249
11257,0.042746585
11259,0.04151104
11261,0.042537831
11263,0.047753915
11265,0.043239959
11267,0.042152707
11269,0.042927586
11271,0.042173292
11273,0.041856583
11275,0.042055
11277,0.042288709
11279,0.043379124
11281,0.0438595
11283,0.042868666
11285,0.042169455
