Sorter0,,
ArrayLength,Runtime F,Runtime C
555,1.96E-04,
557,1.85E-04,
559,1.84E-04,
561,1.90E-04,
563,1.84E-04,
565,1.93E-04,
567,1.89E-04,
569,2.04E-04,
571,1.96E-04,
573,2.00E-04,
575,2.00E-04,
577,2.02E-04,
579,2.08E-04,
581,2.08E-04,
583,2.12E-04,
585,1.98E-04,
587,2.24E-04,
589,2.17E-04,
591,2.20E-04,
593,2.21E-04,
595,2.11E-04,
597,2.17E-04,
599,2.23E-04,
601,2.30E-04,
603,2.29E-04,
605,2.25E-04,
607,2.27E-04,
609,2.19E-04,
611,2.24E-04,
613,2.35E-04,
615,2.35E-04,
617,2.31E-04,
619,2.37E-04,
621,2.39E-04,
623,2.34E-04,
625,2.42E-04,
627,4.29E-04,
629,2.32E-04,
631,2.41E-04,
633,2.39E-04,
635,2.57E-04,
637,2.55E-04,
639,2.48E-04,
641,2.49E-04,
643,2.55E-04,
645,2.53E-04,
647,2.49E-04,
649,2.55E-04,
651,2.55E-04,
653,2.52E-04,
655,2.57E-04,
657,2.55E-04,
659,2.63E-04,
661,2.63E-04,
663,2.82E-04,
665,2.57E-04,
667,2.66E-04,
669,2.74E-04,
671,2.59E-04,
673,2.63E-04,
675,2.66E-04,
677,2.85E-04,
679,2.81E-04,
681,2.84E-04,
683,2.91E-04,
685,2.82E-04,
687,2.93E-04,
689,2.75E-04,
691,2.84E-04,
693,3.00E-04,
695,2.88E-04,
697,2.94E-04,
699,3.06E-04,
701,2.88E-04,
703,2.94E-04,
705,2.96E-04,
707,3.01E-04,
709,3.06E-04,
711,3.14E-04,
713,3.15E-04,
715,3.20E-04,
717,3.17E-04,
719,3.29E-04,
721,3.29E-04,
723,3.10E-04,
725,3.11E-04,
727,3.27E-04,
729,3.23E-04,
731,3.34E-04,
733,3.24E-04,
735,3.22E-04,
737,3.31E-04,
739,3.34E-04,
741,3.52E-04,
743,3.38E-04,
745,3.23E-04,
747,3.33E-04,
749,3.35E-04,
