Sorter0,,
ArrayLength,Runtime,
1,1.7090000028474606E-6,
3,7.624999852851033E-6,
5,7.749999895168003E-6,
7,2.0957999367965385E-5,
9,1.4833000022917986E-5,
11,1.365000061923638E-4,
13,3.195799945387989E-5,
15,9.012500231619924E-5,
17,1.466249959776178E-4,
19,1.4929099415894598E-4,
21,7.116600318113342E-5,
23,1.208340036100708E-4,
25,0.0017056249780580401,
27,2.1545799972955137E-4,
29,0.013980166055262089,
31,4.462500146473758E-5,
33,0.0020060420501977205,
35,7.658299728063866E-5,
37,5.412500104284845E-5,
39,5.983300070511177E-5,
41,8.304200309794396E-5,
43,1.066249969881028E-4,
45,1.2766699364874512E-4,
47,7.000000186963007E-5,
49,1.0925000242423266E-4,
51,7.779199950164184E-5,
53,8.516600064467639E-5,
55,1.2341600086074322E-4,
57,9.029200009535998E-5,
59,1.385000068694353E-4,
61,9.687500278232619E-5,
63,1.0591700265649706E-4,
65,9.791699994821101E-5,
67,1.0358299914514646E-4,
69,1.0929199925158173E-4,
71,1.1095799709437415E-4,
73,1.1541700223460793E-4,
75,1.9337500270921737E-4,
77,1.2275000335648656E-4,
79,2.4266699620056897E-4,
81,1.3666599988937378E-4,
83,1.311249943682924E-4,
85,1.3841599866282195E-4,
87,1.3633299386128783E-4,
89,2.611250092741102E-4,
91,1.4970799384173006E-4,
93,1.5812499623280019E-4,
95,1.562919933348894E-4,
97,1.602080010343343E-4,
99,1.6391600365750492E-4,
101,1.6604199481662363E-4,
103,3.8329200469888747E-4,
105,2.1858399850316346E-4,
107,3.2783299684524536E-4,
109,1.8791700131259859E-4,
111,1.865840022219345E-4,
113,4.106670094188303E-4,
115,2.4074999964796007E-4,
117,3.0162499751895666E-4,
119,2.068330068141222E-4,
121,2.0879099611192942E-4,
123,2.1541700698435307E-4,
125,2.1870799537282437E-4,
127,2.2491700656246394E-4,
129,2.279170003021136E-4,
131,2.3750000400468707E-4,
133,2.3220900038722903E-4,
135,2.7200000477023423E-4,
137,5.065409932285547E-4,
139,2.501250128261745E-4,
141,5.061249830760062E-4,
143,4.437910101842135E-4,
145,3.5562500124797225E-4,
147,4.801669856533408E-4,
149,2.712499990593642E-4,
151,2.8062501223757863E-4,
153,2.7845799922943115E-4,
155,2.851249882951379E-4,
157,4.977909848093987E-4,
159,3.0995800625532866E-4,
161,3.519589954521507E-4,
163,6.461659795604646E-4,
165,0.013856708072125912,
167,0.003879375057294965,
169,4.3437498970888555E-4,
171,3.980000037699938E-4,
173,4.006249946542084E-4,
175,7.143329712562263E-4,
177,5.792499869130552E-4,
179,5.625829799100757E-4,
181,4.623749991878867E-4,
183,6.51917012874037E-4,
